0,1,2,3,4,5,6,7,8,9,10,11
22,116,134,14,156,14,116,44,70,132,14,144
22,116,134,14,156,14,116,44,70,132,14,144
14,144,22,116,134,14,156,14,116,44,70,132
14,144,22,116,134,14,156,14,116,44,70,132
98,940,133,902,1204,88,1222,27,1158,872,233,1327
98,940,133,902,1204,88,1222,27,1158,872,233,1327
233,1327,98,940,133,902,1204,88,1222,27,1158,872
233,1327,98,940,133,902,1204,88,1222,27,1158,872
504,41,393,411,64,398,81,515,197,167,254,145
504,41,393,411,64,398,81,515,197,167,254,145
254,145,504,41,393,411,64,398,81,515,197,167
254,145,504,41,393,411,64,398,81,515,197,167
228,62,279,40,338,184,58,201,80,309,40,189
228,62,279,40,338,184,58,201,80,309,40,189
40,189,228,62,279,40,338,184,58,201,80,309
40,189,228,62,279,40,338,184,58,201,80,309
114,8,112,6,148,84,28,62,42,136,4,130
114,8,112,6,148,84,28,62,42,136,4,130
4,130,114,8,112,6,148,84,28,62,42,136
4,130,114,8,112,6,148,84,28,62,42,136
606,58,561,77,526,445,107,617,102,445,150,361
606,58,561,77,526,445,107,617,102,445,150,361
150,361,606,58,561,77,526,445,107,617,102,445
150,361,606,58,561,77,526,445,107,617,102,445
128,46,204,38,176,176,40,182,16,220,140,38
128,46,204,38,176,176,40,182,16,220,140,38
140,38,128,46,204,38,176,176,40,182,16,220
140,38,128,46,204,38,176,176,40,182,16,220
142,22,120,104,28,106,10,162,88,38,84,54
142,22,120,104,28,106,10,162,88,38,84,54
84,54,142,22,120,104,28,106,10,162,88,38
84,54,142,22,120,104,28,106,10,162,88,38
136,0,116,0,104,72,28,136,4,80,4,82
136,0,116,0,104,72,28,136,4,80,4,82
4,82,136,0,116,0,104,72,28,136,4,80
4,82,136,0,116,0,104,72,28,136,4,80
0,193,128,25,185,0,112,20,107,203,6,200
0,193,128,25,185,0,112,20,107,203,6,200
6,200,0,193,128,25,185,0,112,20,107,203
6,200,0,193,128,25,185,0,112,20,107,203
51,445,297,0,577,232,4,501,8,476,371,24
51,445,297,0,577,232,4,501,8,476,371,24
371,24,51,445,297,0,577,232,4,501,8,476
371,24,51,445,297,0,577,232,4,501,8,476
1824,0,716,84,774,1352,0,1236,0,968,548,304
1824,0,716,84,774,1352,0,1236,0,968,548,304
548,304,1824,0,716,84,774,1352,0,1236,0,968
548,304,1824,0,716,84,774,1352,0,1236,0,968
9,114,149,8,141,12,147,96,32,139,15,113
9,114,149,8,141,12,147,96,32,139,15,113
15,113,9,114,149,8,141,12,147,96,32,139
15,113,9,114,149,8,141,12,147,96,32,139
2,106,94,23,127,7,101,19,90,121,12,109
2,106,94,23,127,7,101,19,90,121,12,109
12,109,2,106,94,23,127,7,101,19,90,121
12,109,2,106,94,23,127,7,101,19,90,121
377,89,555,26,389,89,317,541,41,494,58,451
377,89,555,26,389,89,317,541,41,494,58,451
58,451,377,89,555,26,389,89,317,541,41,494
58,451,377,89,555,26,389,89,317,541,41,494
104,14,78,94,18,82,18,108,64,22,88,20
104,14,78,94,18,82,18,108,64,22,88,20
88,20,104,14,78,94,18,82,18,108,64,22
88,20,104,14,78,94,18,82,18,108,64,22
8,150,146,22,169,5,199,118,37,109,46,197
8,150,146,22,169,5,199,118,37,109,46,197
46,197,8,150,146,22,169,5,199,118,37,109
46,197,8,150,146,22,169,5,199,118,37,109
200,26,132,194,28,152,26,212,128,32,116,88
200,26,132,194,28,152,26,212,128,32,116,88
116,88,200,26,132,194,28,152,26,212,128,32
116,88,200,26,132,194,28,152,26,212,128,32
651,212,893,149,726,754,140,809,147,925,490,352
651,212,893,149,726,754,140,809,147,925,490,352
490,352,651,212,893,149,726,754,140,809,147,925
490,352,651,212,893,149,726,754,140,809,147,925
548,100,455,458,136,412,141,546,285,187,304,208
548,100,455,458,136,412,141,546,285,187,304,208
304,208,548,100,455,458,136,412,141,546,285,187
304,208,548,100,455,458,136,412,141,546,285,187
213,40,268,25,219,215,41,219,34,278,144,87
213,40,268,25,219,215,41,219,34,278,144,87
144,87,213,40,268,25,219,215,41,219,34,278
144,87,213,40,268,25,219,215,41,219,34,278
0,152,124,20,158,2,134,46,76,138,24,170
0,152,124,20,158,2,134,46,76,138,24,170
24,170,0,152,124,20,158,2,134,46,76,138
24,170,0,152,124,20,158,2,134,46,76,138
